Regiões de Saúde,Código da R.S.,Percentual da população com abastecimento adequado de água,Percentual da população com disposição adequada do esgoto sanitário,Percentual da população atendida por serviço regular de coleta de lixo domiciliar,Renda média per capita (em R$),Razão de dependência,Índice de Desenvolvimento Humano,Taxa de desemprego,Densidade demográfica,População total,Percentual da população com abastecimento adequado de água,Percentual da população com disposição adequada do esgoto sanitário,Percentual da população atendida por serviço regular de coleta de lixo domiciliar,População masculina total,População feminina total,Percentual da população analfabeta de 15 anos ou mais,Percentual da população residente com renda domiciliar mensal per capita de até meio salário mínimo,Razão entre a renda dos 10% mais ricos e a dos 40% mais pobres,Recursos próprios por habitante (em R$),Gasto público em saúde como proporção do PIB,Percentual dos recursos próprios destinados à saúde,Recursos próprios destinados à saúde por habitante (em R$),Total das transferências SUS por habitante (em R$),Gasto público total em saúde por habitante (em R$),Equipamentos de ultrassonografia por 100 mil habitantes,Equipamentos de ultrassonografia diponíveis ao SUS por 100 mil habitantes,Enfermeiros por 100 mil habitantes,Enfermeiros disponíveis ao SUS por 100 mil habitantes,Médicos de Saúde da Família ou Médicos Comunitários por 100 mil habitantes,Médicos Ginecologistas e Obstetras ou Mastologistas e Cirurgiões de Mama por 100 mil habitantes,"Médicos Pediatras, Hebeatras e Neonatologistas por 100 mil habitantes",Médicos disponíveis ao SUS por 100 mil habitantes,Médicos de Saúde da Família ou Médicos Comunitários disponíveis ao SUS por 100 mil habitantes,Médicos Ginecologistas Obstetras ou Mastologistas e Cirurgiões de Mama disponíveis ao SUS por 100 mil habitantes,"Médicos Pediatras, Hebeatras e Neonatologistas disponíveis ao SUS por 100 mil habitantes",Leitos de UTI Neonatal por 1000 nascidos vivos,Leitos de UTI Neonatal disponíveis ao SUS por 1000 nascidos vivos,Percentual de partos hospitalares,Percentual de crianças menores de 1 ano vacinadas com tetravalente/pentavalente,Percentual da população coberta pela Estratégia Saúde da Família (ESF),Distância média percorrida (em km) para realização de parto hospitalar fora da Região de Saúde de residência,Percentual de partos hospitalares realizados fora da Região de Saúde de residência,Razão entre o número de exames citopatológicos em mulheres de 25 a 64 anos e um terço da população de mulheres na mesma faixa etária,Percentual da população coberta por planos e seguros de assistência suplementar à saúde,Cobertura populacional estimada pelas equipes de Atenção Básica,Taxa de histerectomias padronizada por idade por 100 mil mulheres de 20 anos ou mais,Percentual de nascidos vivos de mães que fizeram mais de 6 consultas pré-natal,Número de casos novos de sífilis congênita em menores de 1 ano,Taxa de mortalidade neonatal precoce (0 a 6 dias) por 1000 nascidos vivos,Taxa de mortalidade neonatal tardia (7 a 27 dias) por 1000 nascidos vivos,Taxa de mortalidade pós-neonatal (28 a 364 dias) por 1000 nascidos vivos,Número de óbitos maternos devidos a causas diretas por 100.000 nascidos vivos,Taxa de mortalidade infantil (menores de 1 ano) por 1000 nascidos vivos
Jacobina,29014,68.7,27,70.8,270.01,55.62,0.591,9.3,18.2,397958,68.7,27,70.8,200420,197538,21.4,63,15.9,576.9,5.1,18.7,107.8,134.3,243.7,8,5,40.7,40.7,7.04,0.25,0.5,22.87,7.04,0.25,0.5,0,0,96,111.3,67.1,183.2,5.3,0.66,1.8,97.3,381.4,39.2,1,13.7,1.1,5.2,108.3,20
Jequié,29015,70.8,51.9,78.2,330.17,53.17,0.618,11,28.2,518585,70.8,51.9,78.2,260655,257930,22,58.7,16.9,685.1,4.1,19.6,134.1,146.1,285.6,9.6,5.6,68.6,68.1,5.59,0.77,0.96,37.02,5.59,0.58,0.77,0,0,94.2,104.3,73.9,81.9,6.4,0.47,4.1,99.9,150.8,37.7,2,11.1,0.8,4.9,39.8,16.8
Juazeiro,29016,66.2,43.8,64.2,313.8,55.56,0.62,9.3,8.4,520934,66.2,43.8,64.2,263857,257077,19.4,59.3,17.6,553.5,4.1,19.2,106.4,168.7,285,8.4,5.8,40.5,40.3,9.79,3.26,3.46,48.95,9.79,1.92,3.26,0,0,97.8,98.9,65.1,46.9,14.6,0.51,5.7,103.5,385.4,37.7,15,11.2,1.1,2.9,54.9,15.1
Paulo Afonso,29017,68.1,53.5,62.9,348.63,54.51,0.622,8.2,13.2,249550,68.1,53.5,62.9,124598,124952,23.1,56.7,19.4,682.9,2.9,19.8,135,163.5,306.9,8,2.8,42.1,40.5,14.03,2.4,1.6,44.48,14.03,1.6,1.2,0,0,90.7,107.3,78.3,93.3,28.4,0.49,5.1,92.9,302.2,44,6,15.1,1.8,4.4,51.3,21.3
Porto Seguro,29018,68,47.8,87.4,435.43,53.59,0.654,11.2,29.8,361753,68,47.8,87.4,183918,177835,16.5,49.3,18,642.6,3.3,16.8,108.2,172.3,292.1,16.9,9.4,61.6,61.1,8.29,1.66,4.15,43.95,8.29,0.55,3.87,0,0,97.6,108.1,79.7,238.9,1.3,0.34,7.5,85.9,143.4,41.1,3,9.8,3.4,4.2,128.2,17.3
Ribeira do Pombal,29019,68.5,27.8,55.9,241.66,56.1,0.571,6.9,40.9,323296,68.5,27.8,55.9,163034,160262,28.5,65.1,17,575.6,4.9,19.1,109.9,86.1,216,4.9,3.1,43,42.7,6.8,0.93,0.93,26.6,6.8,0.62,0.62,0,0,94.2,111.9,60.8,93.9,16.8,0.54,0.8,98,196.6,30.5,2,7.1,0.2,6.2,47.7,13.6
Salvador,29020,94.2,89.1,95.6,834.66,37.55,0.751,13,1140,3310715,94.2,89.1,95.6,1582442,1728273,4.3,33.2,25.9,822.5,1.8,12.6,103.7,153.8,308.9,20.7,6.6,90.9,81,5.01,13.53,16.55,98.8,5.01,9.12,13.17,4.7,2.1,99.5,96.9,21.4,121.7,0.8,0.56,24.3,37.4,170.7,49.9,111,10.1,2.2,4.3,79.9,16.6
Santa Maria da Vitória,29021,66.7,16.2,49.8,264.21,56.09,0.612,10,6,307298,66.7,16.2,49.8,157650,149648,22.2,63.2,20,677.9,3.9,18.3,123.8,143.4,281.5,9.1,6.2,42.3,42,4.88,0.65,0.33,23.1,4.88,0.33,0.33,0,0,98.9,102.2,71.7,227,6.2,0.53,1.5,98.4,151.1,33.6,2,10.8,0.5,3.5,23,14.7
Santo Antônio de Jesus,29022,63.8,34.3,62,324.56,50.01,0.623,9.1,54.6,460076,63.8,34.3,62,229240,230836,20.1,57.7,17.2,597.3,4.3,18.9,113,144.8,258.2,14.3,7.8,49.3,48.3,9.13,0.65,0.87,36.95,9.13,0.43,0.43,0,0,96.8,106.2,85.2,66.3,13.9,0.65,2.9,95.7,225.2,35.9,10,12.1,2.5,4.4,142,19.1
Seabra,29023,68.4,13.6,45,257.01,58,0.61,7.5,12.8,185219,68.4,13.6,45,93145,92074,18.5,63.5,20.7,677.5,4.7,19.3,130.6,97.7,245,7,4.9,40,40,12.96,0,0.54,44.27,12.96,0,0.54,0,0,98.2,90.6,75.6,164.9,6.6,0.64,1.3,100.6,302.1,47.4,1,12.5,2.9,1.8,0,17.2
Senhor do Bonfim,29024,65.3,32.3,64.4,290.28,55.53,0.611,9.1,20.1,300829,65.3,32.3,64.4,152345,148484,20.2,62.3,20.8,543,3.9,17.4,94.6,129.2,234.6,9,4.7,35.6,35.2,4.65,0.66,1.99,26.26,4.65,0,1.99,0,0,92.8,107,50.5,140.3,6.3,0.62,2.5,95.6,223.5,41,3,9.7,2.4,3.8,88.5,15.9
Serrinha,29025,58.8,30.2,51.8,255.34,56.43,0.581,7.9,30.2,636470,58.8,30.2,51.8,322614,313856,24.1,64.3,17.6,473.7,4.8,20.6,97.4,110.4,217.4,9,5.8,36,36,7.86,0.47,0.31,27.34,7.86,0.47,0.31,0,0,88.7,107.3,65.6,112.2,23.3,0.73,1.9,96.1,192.4,36.2,2,7.1,1.6,5.7,79.9,14.4
Teixeira de Freitas,29026,65.5,49.6,80.9,428.76,53.13,0.65,10.2,23.7,439206,65.5,49.6,80.9,222937,216269,18.8,48,16.9,716.2,3.3,20,143.4,173.2,335.2,11.2,5.7,59.2,58.5,12.75,2.96,2.96,49.18,12.52,1.82,2.5,1,1,98.9,102.2,89.2,195.1,1,0.36,10.6,92,216.3,44.9,23,7.1,2.3,4.6,142.7,14
Valença,29027,59.3,42.4,64,299.29,54.06,0.595,8.4,53.1,310019,59.3,42.4,64,158581,151438,21.3,59.8,15.9,628.2,2.8,18.1,113.5,102.5,224.3,5.8,1.9,36.4,36.1,6.77,0.65,1.61,25.8,6.77,0,0.97,0,0,97.7,104.2,65.9,92,11.2,0.59,1.9,93,404.8,22.4,2,15.7,2.7,4.5,89.7,22.9
Vitória da Conquista,29028,65.3,38.7,69.6,370.19,51.65,0.626,9,30.4,666625,65.3,38.7,69.6,332680,333945,20.2,52.4,15.3,528,4,19.9,104.9,201.7,299,12.3,5.1,51.9,50.9,8.25,4.5,4.35,43.35,8.25,3.15,3.75,1,1,97.9,99.4,62.6,94.8,2.6,0.52,6.5,91.8,207.7,36.8,19,12,3.3,6.3,31.2,21.6
Águas Formosas,31001,66.1,59.8,67.1,313.15,59.82,0.62,8.2,14.4,59628,66.1,59.8,67.1,30669,28959,26.3,60.8,15.1,983.6,6,19.6,192.4,136,342.2,10.1,8.4,75.5,73.8,13.42,1.68,0,35.22,13.42,1.68,0,0,0,92.7,106.2,100.3,110.4,9,0.83,2.5,99.4,142.2,58.9,0,10.9,3.3,12,0,26.3
Além Paraíba,31002,89,75.9,90,597.5,46.48,0.714,6.7,46,57321,89,75.9,90,28200,29121,7.1,30.3,12.2,1107.9,2,24.5,271.6,101,367.3,12.2,3.5,66.3,66.3,10.47,8.72,10.47,130.84,10.47,6.98,10.47,0,0,99.7,111.1,62.4,57.3,14.8,0.56,16.1,62.6,161,43.1,2,19.7,0,1.4,0,21.1
Alfenas Machado,31003,78.9,80.4,86.1,617.39,44.98,0.718,4.4,44.9,313750,78.9,80.4,86.1,159523,154227,7.7,26,11.2,837.7,2.8,23.7,198.5,162.2,377.6,10.8,7.3,53.9,52.3,8.29,3.51,7.97,73.63,8.29,3.19,7.97,1.6,1.6,99.8,98.2,51.7,41.7,8.1,0.58,16.6,54.9,215.5,73.2,2,6.5,2.2,2.2,108.7,10.9
Almenara,31004,69.1,55.7,70.2,321.21,56.18,0.612,9.4,11.9,179802,69.1,55.7,70.2,92549,87253,25.9,57.7,13.8,753.8,5.5,19.1,143.9,132.7,299.6,10,7.8,48.4,48.4,16.13,1.11,0,40.6,16.13,1.11,0,0,0,99.1,121.6,89,133.4,11.3,0.82,3.2,91.9,108.3,50.9,0,10.5,2.2,4,44,16.7
Araçuaí,31005,63.5,34.4,51.5,327.69,52.26,0.639,7.9,17.3,90837,63.5,34.4,51.5,46174,44663,18.7,55.9,14.9,700,5.8,20.1,140.6,127.1,279.5,11,8.8,48.4,48.4,6.61,2.2,0,42.93,6.61,2.2,0,6,0,99.5,118.8,74.8,101.5,7.6,0.93,3.5,100,97.3,57.8,0,7,1,3,100.1,11
Araxá,31006,87.2,90.9,92,767.8,41.2,0.748,4.9,17.4,172305,87.2,90.9,92,87738,84567,5.4,17.5,11.7,1450,1.3,18.2,263.9,83.7,371.6,8.1,5.2,54.6,54.6,5.22,4.06,6.38,78.93,5.22,4.06,6.38,0.5,0,99.6,108.1,56,104.8,10.9,0.84,21.3,74.1,190.6,74.4,0,7.4,1.5,2.5,49.1,11.3
Barbacena,31007,77.1,72.9,81.8,615.17,42.41,0.726,8.5,52.9,231358,77.1,72.9,81.8,114256,117102,7.7,36.7,16.7,778.2,4.5,21.7,168.7,303.8,474.5,13,4.8,69.6,67.9,10.37,12.1,9.51,133.13,10.37,9.08,7.78,5,5,99.8,105.4,69.8,64.6,2.9,0.5,17.6,79.5,127.6,56.5,3,6.5,2.3,3.8,76.8,12.7
Belo Horizonte Nova Lima Caeté,31008,96.4,92.2,98.2,1205.13,39.38,0.79,6.4,739.1,3272924,96.4,92.2,98.2,1571998,1700926,3.4,18.8,20.5,1087.6,3,19.9,216.4,345.6,566.6,16.4,4.8,96.6,84.2,15.4,21.69,29.45,151.76,15.34,9.81,21.05,4.4,2.6,99.7,89.3,65.6,56.1,1.4,0.39,43.5,53.2,103.7,72.1,92,6.4,1.9,3.4,65.5,11.7
Betim,31009,89.9,71.8,94.3,589.71,43.53,0.729,8.3,174.8,641176,89.9,71.8,94.3,323009,318167,5.9,27.7,11.2,1760.1,1.2,24.9,438,147.5,588.1,5.6,3.1,65.3,62.7,7.95,4.21,13.41,57.39,7.95,3.74,11.54,2.6,2.2,99.7,97.8,43.3,34.2,27.4,0.64,29.5,62.4,102,72.8,17,4.6,1.6,4.5,21.8,10.7
Bom Despacho,31010,88.7,82,91.7,688.8,44.75,0.727,5.4,18.1,103624,88.7,82,91.7,52040,51584,7.8,21.1,11.1,958.8,2.6,22.5,215.5,92.4,321.2,19.3,7.7,55,54,3.86,2.9,7.72,56.94,3.86,0.97,5.79,0,0,99.6,107.1,76.3,95.1,9.9,0.62,14.2,80.6,173.3,76.2,0,11.8,0.8,5.1,0,17.8
Brasília de Minas São Francisco,31011,66.1,18.1,46.7,279.78,57.72,0.624,8.3,13.7,241022,66.1,18.1,46.7,124422,116600,19,63.3,14.3,656.2,7.1,20,131.2,206.7,339.4,6.6,6.6,50.6,50.2,13.69,0.83,1.66,44.39,13.69,0.83,1.66,0,0,98.9,100.3,88,133.6,8.6,0.78,1.2,95.1,187.2,58.5,1,7.9,2.5,5.6,28.2,16.1
Carangola,31012,64.6,55.1,67.4,450.38,48.91,0.65,5.1,52.7,127271,64.6,55.1,67.4,64622,62649,12.6,43.5,12.9,817.6,4,21.8,178,107.6,314,11,6.3,62.9,62.1,12.57,3.14,2.36,66.79,12.57,2.36,2.36,0,0,99.6,97.9,79.6,42.6,9.6,0.73,5,85.7,236.1,78,0,7.6,1.8,6.5,58.7,15.8
Caratinga,31013,62.9,61.9,72.4,452.42,49.09,0.664,6.8,51.6,197441,62.9,61.9,72.4,99308,98133,12.9,43.4,13.6,744.6,4.4,21.9,163,168.5,353.4,7.6,6.1,54.2,53.7,12.66,1.52,3.04,55.21,12.66,1.52,2.53,2.3,2.3,99.2,105.2,69.9,59.5,9.2,0.74,7.3,76.6,145.7,64.5,0,11.1,1.1,3.1,0,15.3
Conselheiro Lafaiete Congonhas,31014,82.1,74.8,83.9,638.26,41.97,0.728,7.5,65.5,296280,82.1,74.8,83.9,147824,148456,5.6,29,12.3,1346,2.6,21.5,289.1,147.4,452.9,13.8,7.8,51.6,50,13.5,4.73,5.4,73.58,13.5,2.36,3.04,0,0,99.9,104.7,78.5,77.4,9.3,0.57,28.5,75.5,187.4,72.5,0,7.4,3.3,3.6,27.4,14.3
Contagem,31015,97.5,90.2,99.1,707.73,39.23,0.746,7.3,2457.7,809825,97.5,90.2,99.1,398899,410926,4,22.4,10.8,863.7,1.5,25.3,218.7,143.5,370.6,7.5,3.5,40.9,39.3,13.09,3.09,7.53,40.13,13.09,1.98,5.43,0.9,0.9,99.6,96.5,55.4,19.1,59.1,0.5,37.9,47,42.5,72.6,15,5.7,1.7,5,62.1,12.3
Coração de Jesus,31016,54.4,10.5,40,292.88,51.82,0.64,8,8.8,48268,54.4,10.5,40,24859,23409,17.3,60.7,13.3,863.4,6.3,19.8,170.5,208.8,382.9,2.1,2.1,64.2,64.2,18.65,0,0,35.22,18.65,0,0,0,0,98.5,119.2,98.9,57.8,39,0.71,1.2,101.2,171.4,47,0,17.3,1.9,3.8,0,23
Coronel Fabriciano Timóteo,31017,85.9,87,94.9,645.6,42.96,0.749,10.8,87.4,223763,85.9,87,94.9,109667,114096,6.3,27.4,11.5,1048.3,1.9,19.9,208.2,67.3,276.3,7.2,1.3,40.7,36.2,5.81,1.79,5.36,50.5,5.81,0.45,2.68,0,0,100,114.6,39.9,17.8,50,0.51,24.5,49.6,174.1,61.8,0,7.6,2.7,6.1,38.1,16.4
Curvelo,31018,81.9,67.3,83.2,509.3,47.43,0.7,8.8,11.5,179505,81.9,67.3,83.2,89439,90066,9.8,38.3,13.3,923.2,2.4,25.1,231.9,89,339.8,7.8,3.3,49,48.5,7.8,2.79,3.34,52.92,7.8,2.23,2.79,0,0,99.4,106.6,72.8,130.8,6.1,0.85,11.5,82.8,226.4,54.7,0,9,1.4,3.3,47.2,13.7
Diamantina,31019,72.8,56.9,63.5,402.94,53.04,0.659,6.9,12,171077,72.8,56.9,63.5,85620,85457,14.7,52.1,16,856.7,4.9,21,179.7,123,320.5,9.4,7,67.8,67.8,10.52,0.58,0.58,58.45,10.52,0.58,0.58,0,0,99.3,109.3,87,171.3,3.3,0.73,6.3,101.7,146.8,53.2,0,9.2,0.9,3.1,131.1,13.1
Divinópolis Santo Antônio do Monte,31020,91.2,88.9,94.5,728.03,40.44,0.743,4.1,66.9,441322,91.2,88.9,94.5,220830,220492,5.1,17.1,10,822.6,2.9,23.9,196.3,225.1,412.8,11.8,3.6,48.5,44,8.38,6.12,7.48,67.75,8.38,2.72,5.66,1.3,1.1,99.8,96.9,50.2,97.7,4.1,0.55,39.3,49,91.6,79.8,3,8,2.3,2.8,19,13.1
Formiga,31021,85.5,84.7,87.8,673.06,41.32,0.737,3.4,20,130111,85.5,84.7,87.8,65673,64438,6.6,20.2,10.8,916.9,2.3,23.6,216.2,106.9,341.6,10.8,6.1,63.8,62.3,7.69,0.77,4.61,65.33,7.69,0.77,2.31,0,0,99.9,100.8,88.5,72,15.4,0.65,13.4,97.7,135.1,85.3,2,6.1,1.5,3.1,0,10.8
Francisco Sá,31022,58.3,34.5,52.9,277.12,55.35,0.625,9.6,6.9,72911,58.3,34.5,52.9,37861,35050,19.4,62.8,12.6,856,3.9,21.2,181.2,150.7,339.6,4.1,4.1,59,59,27.43,1.37,0,48,27.43,1.37,0,0,0,97.5,110.1,97.4,65.2,36,0.84,3.6,99.7,96.7,55.1,0,5.3,0,2.1,0,7.5
Frutal Iturama,31023,78,84.2,86.9,675.21,41.38,0.725,5,12.5,164581,78,84.2,86.9,85177,79404,8.3,20.9,10.9,1437.7,2.1,23.9,343.9,132.3,503.6,11.5,4.9,49.2,47.4,7.9,2.43,6.08,67.44,7.9,2.43,4.25,0,0,99.7,102.4,66.2,93.8,15.4,0.44,23.5,74.3,140.3,63.8,1,7.1,1,3.5,0,11.6
Governador Valadares,31024,84.9,81,83.1,532.86,49.61,0.696,9.1,44.6,421312,84.9,81,83.1,205313,215999,10.9,38.9,13.8,771.9,4,20,154.2,203.2,400.9,7.8,3.1,54.6,51.5,9.49,4.51,3.8,73.34,9.49,3.56,2.85,1.8,1.8,99.5,105.3,60.8,53.2,7.1,0.6,17.6,70.4,84.5,50.8,15,5.7,2.7,4.2,53.1,12.6
Guanhães,31025,61.6,53.1,59.4,392.48,56.09,0.64,6.9,16.6,116722,61.6,53.1,59.4,58260,58462,17,51.6,15.2,959.7,4.4,20.4,195.8,113.6,318.5,10.3,6.9,51.4,51.4,7.71,1.71,1.71,40.27,7.71,0.86,0.86,0,0,99.4,109.6,78.4,91.1,18.5,0.78,5.6,99.2,127,66.4,0,14.2,0,4.2,70.8,18.4
Guaxupé,31026,77.7,80,87,646.42,42.91,0.717,3.4,56.6,158859,77.7,80,87,81974,76885,7.7,22.6,11,868.4,1.7,25.3,219.9,66.2,294.2,6.9,3.8,40.9,40.9,6.92,1.89,2.52,66.1,6.92,1.89,2.52,0,0,100,110.3,50.9,59.1,10.9,0.75,13.2,54.3,119.3,89,0,4.5,1.7,2.2,0,8.4
Ipatinga,31027,81.6,86.4,91.1,664.5,43.22,0.737,9.5,105.8,384673,81.6,86.4,91.1,190643,194030,7.9,28.2,12.7,1328.7,2.4,23.3,310,248.7,546.6,13.5,5.5,50.7,50.4,13.26,2.34,6.5,64.21,13.26,2.08,5.2,1,1,99.6,100.8,63.9,38.9,9.9,0.84,25.3,77.9,167.4,57.9,1,6.2,1.9,3.9,38.5,11.9
Itabira,31028,82.6,80.8,86.7,587.5,43.94,0.722,9.8,38.2,224432,82.6,80.8,86.7,110702,113730,7.5,31.2,12.1,1669.5,1.1,20.6,343.5,177.2,506.5,16,7.1,68.2,66.8,16.93,4.9,5.79,86.44,16.93,4.01,4.9,0,0,99.6,110.9,87.5,68.3,7.4,0.74,39.5,96.4,96.6,75.5,1,8.7,1.8,2.9,0,13.3
Itajubá,31029,75.9,76,93.1,686.49,44.37,0.743,5.6,64.8,201414,75.9,76,93.1,101897,99517,6.4,28.9,14.3,960.4,2.1,21.9,210.3,61.7,276.8,12.4,2,67.5,63.1,12.91,7.45,8.94,103.27,12.91,5.96,7.45,0,0,99.9,102.8,55.2,38.9,7.5,0.57,26.8,60.3,131.7,77.4,0,12.4,3.3,2.5,82.5,18.2
Itaobim,31030,61.8,38.4,59.9,301.07,60.83,0.611,9,13.8,82948,61.8,38.4,59.9,42281,40667,23.1,60.6,16.1,711.6,4.7,19.2,136.7,128.8,269.2,8.4,7.2,54.3,54.3,19.29,0,0,37.37,19.29,0,0,0,0,98.3,106,97.3,68.5,18.7,0.91,2,99.7,76.2,43.9,1,10.2,2,7.2,102.1,19.4
Itaúna,31031,88.9,89.9,93.8,734.1,40.85,0.74,5.7,79.1,117300,88.9,89.9,93.8,58851,58449,5,19.2,10.7,980.7,2.1,21.3,209.2,177.4,394.4,10.2,7.7,66.5,65.6,7.67,2.56,5.12,65.64,7.67,0.85,3.41,0,0,99.6,107.5,68.7,53.2,9.6,0.64,22.3,68.7,143.5,68.8,0,9.2,0.8,2.3,0,12.3
Ituiutaba,31032,86.7,86.9,90,714.31,44.34,0.725,5.9,14,189358,86.7,86.9,90,96176,93182,9.8,21.2,12.2,1178.9,1.8,20.1,237.1,78.4,332.3,10,4.2,44.9,41.7,4.22,3.7,4.22,51.23,4.22,1.58,2.64,0,0,99.9,101.2,59.3,100.6,7.4,0.66,19,66.5,87.7,78.7,5,6.7,0.9,2.7,44.7,10.3
Janaúba Monte Azul,31033,72.9,13,59.9,338.83,49.91,0.653,8.2,14.7,273102,72.9,13,59.9,138049,135053,19.5,54.7,12.7,647.9,4.5,19.3,125.3,152.4,290.8,10.6,6.6,57.5,57.5,20.87,1.83,1.83,41.38,20.87,1.46,1.1,2.6,2.6,98.7,105.1,99.1,136.5,3.8,0.64,2.4,99.1,187.5,69.8,1,5.2,0.8,4.4,25.9,10.3
Januária,31034,62.5,28.9,48.9,308.92,58.46,0.64,9.9,7.6,113296,62.5,28.9,48.9,57130,56166,18.6,60.6,17.3,560.8,5.4,17.8,99.9,171.3,278.3,5.3,2.6,53.8,53.8,7.94,0,0.88,25.6,7.94,0,0,0,0,96.9,115,61.4,142,10,0.5,3.6,78.2,48.1,48.6,1,10.3,1.2,3.6,60.4,15.1
João Monlevade,31035,89.4,84,92.4,601.52,44.44,0.73,10,80.7,136286,89.4,84,92.4,66053,70233,5.6,29.4,11.4,1087.9,2.4,23.3,253.7,137.1,414.3,11.7,3.7,45.5,43.3,5.14,7.34,5.87,77.04,5.14,4.4,3.67,0,0,99.9,103.5,40.9,82.3,4.2,0.67,26,51.9,196.8,61.4,0,11.3,0.6,2.5,0,15.1
João Pinheiro,31036,79.9,62.4,84.4,504.99,48.54,0.691,6.7,4.8,69985,79.9,62.4,84.4,36285,33700,9.4,35.4,11.5,926.2,2.9,31.2,289.4,110,400.3,11.4,2.9,25.7,25.7,4.29,4.29,4.29,50.01,4.29,4.29,4.29,0,0,98.7,110.6,44.4,124.4,14.1,0.61,5.8,58.2,247.8,51.3,0,5.6,1.1,5.6,0,12.3
Juiz de Fora Lima Duarte Bom Jardim Minas,31037,89.8,89.6,96.4,906.52,40.85,0.763,7.3,74.8,655199,89.8,89.6,96.4,317568,337631,4.6,22.1,16.6,939,3.2,22.9,215.2,348.8,480.8,14.8,5.5,86.7,78.9,11.45,10.68,21.21,159.19,11.45,8.7,17.55,6.5,4.9,99.6,92.9,55.2,65.3,2.9,0.48,32,55,133.2,77.7,5,8.6,4.4,5,94.4,18.1
Lavras,31038,88.5,87.6,90.2,704.54,42.54,0.751,5.5,47,174411,88.5,87.6,90.2,86741,87670,5.6,24.1,12.2,930.5,3.2,26.3,245,203.4,474.4,20.6,10.3,59.1,49.9,8.6,1.72,6.31,97.47,8.6,1.72,5.16,3.9,3.9,99.5,98,64.5,151,1.3,0.79,25.3,73,118.2,72.6,7,4.9,2,1,0,7.8
Leopoldina Cataguases,31039,89.1,80.4,91,591.35,44.21,0.727,6.3,63,178615,89.1,80.4,91,88573,90042,7.2,29.5,11.6,773.2,2.7,21.4,165.7,146.6,315.1,12.9,9,53.2,52.1,10.64,3.36,4.48,104.69,10.64,3.36,4.48,0,0,98.2,102.1,85.2,67.1,9.1,0.6,15.1,78.4,240.7,72.6,7,4.3,2.2,5.4,0,12
Manga,31040,63.1,5.1,48.9,281.57,63.45,0.605,9.5,10.2,59228,63.1,5.1,48.9,30145,29083,24.1,68.9,24.9,768.5,5.6,17.2,132,134,292.8,3.4,3.4,43.9,43.9,11.82,0,0,42.21,11.82,0,0,0,0,96,110,101.4,128.4,7.7,0.56,0.8,101.4,144.4,55.7,0,14,2.2,4.3,107.6,20.5
Manhuaçu,31041,63.7,57.3,67.3,452.91,50.1,0.66,4.1,44.8,332209,63.7,57.3,67.3,168104,164105,13.1,42.2,13.2,755.3,3.5,22.4,169.1,159.5,350.6,5.1,2.7,53.3,52.4,8.43,2.41,3.31,51.17,8.43,2.41,3.01,0,0,99.9,101.9,86.1,92.4,5.4,0.71,5.9,93.8,189.5,67.5,2,8.9,1.3,4.5,21.2,14.7
Mantena,31042,73.1,70.3,71.9,400.74,50.21,0.657,7.6,31.9,70013,73.1,70.3,71.9,34743,35270,18.5,48.4,12.8,915.8,4.4,19.2,176.3,113.7,298.4,2.9,2.9,68.6,68.6,11.43,0,1.43,54.28,11.43,0,1.43,0,0,99.8,111.3,88.7,74.3,14.6,0.8,4.8,88.7,246.2,75.9,0,7.4,3.2,6.3,210.5,16.8
Minas Novas Turmalina Capelinha,31043,60.2,40.9,53.7,352.22,53.11,0.643,5.5,19.3,121767,60.2,40.9,53.7,61480,60287,19.7,51.6,12.7,724.6,5.3,21.1,153.1,141.2,298.1,7.4,5.7,53.4,53.4,19.71,0,0,34.49,19.71,0,0,0,0,99.4,102.9,89.1,215.1,3.7,0.89,3.3,96.6,147.3,57.1,1,14.8,2.4,3,59.1,20.1
Montes Claros Bocaiúva,31044,85.7,84.5,88.6,569.71,43.34,0.753,9.6,30.5,467149,85.7,84.5,88.6,230054,237095,7.7,36.8,14.8,581.3,4.1,18.2,106,340.6,466.5,9.6,3.6,69.6,69.4,12.84,4.28,5.78,98.68,12.63,3.64,5.14,2.6,2.6,99.7,92,63.1,191.9,0.7,0.42,16,76.2,129.2,62.2,0,6.7,1.7,3.2,28.9,11.6
Muriaé,31045,83.8,81.7,86.4,610.81,43.73,0.711,5.1,64,168493,83.8,81.7,86.4,83876,84617,9.4,29.5,12.8,771.9,2.9,20.1,155.1,117.6,276.6,15.4,11.9,65.3,64.7,10.09,2.37,2.97,90.21,10.09,2.37,2.97,1.6,1.6,98,109.1,87.6,107.9,5.4,0.7,13.4,82.1,118.5,82.9,0,9.9,1.6,5.2,51.9,16.6
Nanuque,31046,82.2,67.9,82.1,455.14,51.48,0.68,10.2,14.4,71216,82.2,67.9,82.1,35444,35772,17.4,44.8,13.8,730.8,2.7,20.7,151.1,136.7,292.4,15.4,5.6,43.5,42.1,9.83,1.4,1.4,28.08,9.83,1.4,0,0,0,99.4,105.2,70.2,128.8,8.1,0.98,8,81.6,133.2,64.1,0,5.4,1.1,5.4,0,11.9
